"","age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"1","25-34",55000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Research and Instruction Librarian"
"2","25-34",34000,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Marketing Specialist"
"3","25-34",62000,"8 - 10 years","College degree","Woman","Nonprofits","Program Manager"
"4","25-34",60000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Accounting Manager"
"5","25-34",62000,"8 - 10 years","Master's degree","Man","Education (Higher Education)","Scholarly Publishing Librarian"
"6","25-34",33000,"2 - 4 years","College degree","Woman","Publishing","Publishing Assistant"
"7","25-34",50000,"5-7 years","Master's degree","Man","Education (Primary/Secondary)","Librarian"
"8","45-54",112000,"21 - 30 years","College degree","Woman","Computing or Tech","Systems Analyst"
"9","35-44",45000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Senior Accountant"
"10","25-34",47500,"5-7 years","College degree","Woman","Nonprofits","Office Manager"
"11","35-44",62000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity"
"12","35-44",1e+05,"11 - 20 years","College degree","Man","Accounting, Banking & Finance","Manager of Information Services"
"13","35-44",85000,"8 - 10 years","College degree","Woman","Business or Consulting","Executive Assistant"
"14","45-54",59000,"21 - 30 years","College degree","Woman","Art & Design","graphic designer"
"15","35-44",98000,"11 - 20 years","Master's degree","Woman","Business or Consulting","Senior Manager"
"16","35-44",54000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Assistant Director of Academic Advising"
"17","25-34",74000,"5-7 years","Master's degree","Woman","Health care","Data Programmer Analyst"
"18","35-44",50000,"5-7 years","PhD","Woman","Nonprofits","Program Coordinator & Assistant Editor"
"19","35-44",96000,"8 - 10 years","PhD","Woman","Government and Public Administration","Researcher"
"20","35-44",60000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Communications Specialist"
"21","25-34",62000,"5-7 years","College degree","Man","Nonprofits","Program Director"
"22","35-44",48000,"11 - 20 years","College degree","Woman","Law","Bookkeeper/Billing Manager"
"23","35-44",140000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Economist"
"24","25-34",80000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Research Engineer"
"25","25-34",39000,"2 - 4 years","College degree","Woman","Nonprofits","Volunteer and Giving Coordinator"
"26","35-44",125000,"11 - 20 years","Master's degree","Woman","Media & Digital","Editor"
"27","25-34",230000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Financial Advisor"
"28","35-44",110000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Accounting Manager"
"29","25-34",50000,"5-7 years","College degree","Woman","Nonprofits","Administrative and HR Manager"
"30","35-44",68000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Senior IRB Analyst"
"31","18-24",41000,"2 - 4 years","College degree","Woman","Media & Digital","Reporter"
"32","25-34",76000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Senior Administrator"
"33","35-44",78000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Staff Services Manager II"
"34","25-34",37000,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Receptionist"
"35","45-54",1e+05,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Lead Engineer"
"36","25-34",65000,"5-7 years","College degree","Man","Government and Public Administration","Manager of Data Integrity and Prospect Research"
"37","25-34",187500,"8 - 10 years","College degree","Woman","Computing or Tech","Principal Software Engineer"
"38","25-34",110000,"8 - 10 years","Master's degree","Man","Computing or Tech","Intelligence Analyst"
"39","25-34",66625,"8 - 10 years","College degree","Woman","Nonprofits","Project Manager"
"40","35-44",144600,"5-7 years","PhD","Woman","Computing or Tech","Mobile developer"
"41","35-44",200850,"11 - 20 years","College degree","Woman","Computing or Tech","Product Design Director"
"42","35-44",96000,"5-7 years","PhD","Woman","Education (Higher Education)","Research and Development Engineer 3"
"43","25-34",53000,"5-7 years","Master's degree","Woman","Education (Primary/Secondary)","Science Teacher (Public High School)"
"44","25-34",95000,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Senior Manager, Programmatic"
"45","35-44",72000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Managed Services Sales Coordinator"
"46","35-44",106000,"21 - 30 years","Master's degree","Woman","Engineering or Manufacturing","Water Resources Engineer"
"47","25-34",115000,"5-7 years","PhD","Woman","Government and Public Administration","Program Officer"
"48","25-34",100500,"11 - 20 years","College degree","Woman","Business or Consulting","Account Supervisor"
"49","25-34",33200,"8 - 10 years","College degree","Woman","Law","Legal Secretary"
"50","25-34",52000,"8 - 10 years","College degree","Woman","Education (Higher Education)","Coordinator"
"51","65 or over",104000,"41 years or more","College degree","Man","Property or Construction","Safety Director"
"52","18-24",52000,"2 - 4 years","College degree","Woman","Biotechnology","Downstream Process Development Research Associate I"
"53","25-34",84000,"5-7 years","Master's degree","Woman","Nonprofits","Manager, Natural Climate Solutions Development"
"54","35-44",53000,"21 - 30 years","Master's degree","Woman","Health care","AR Manager"
"55","25-34",34000,"5-7 years","College degree","Woman","Computing or Tech","Technical specialist"
"56","25-34",38000,"5-7 years","Master's degree","Woman","Nonprofits","Programming Coordinator"
"57","25-34",87000,"5-7 years","Master's degree","Man","Government and Public Administration","City Research Scientist II"
